indx,baseline_results,std_scale_results,min_max_results,robscale_results,pwr_transform_results,quant_transfmr_results
0,0.6107223770478656,0.7271637464238658,0.6996632903449734,0.630883181559469,0.7245696723515733,0.7089044939091819
1,0.585800129037102,0.7337125091320305,0.6933495101491138,0.6554588644539558,0.7293139900908775,0.710062254681028
2,0.5378181019474054,0.6889413747370281,0.6415812422899185,0.6273760784125836,0.6996913073635197,0.6715454480190894
3,0.58626128740698,0.7306981953984799,0.6767823159530441,0.6162429536151561,0.7365313614578539,0.706570065261181
4,0.5867550827971508,0.7124184666778502,0.6918900351783726,0.6355811783239362,0.7213966597550222,0.7032511184405157
5,0.6166841876664639,0.7530165872090565,0.7067892377374736,0.6931870903629697,0.7466529412241852,0.7229828366449912
6,0.6383098019139856,0.7224409841231373,0.6749699722078953,0.6376647162936602,0.7200402715202521,0.6957242040728963
7,0.6495067278649518,0.7443670996684956,0.7102742633972253,0.6794135395165191,0.7539563326902081,0.7383659385832312
8,0.6042781206157221,0.7471505118346344,0.6996971282584948,0.6887975048265557,0.7552652330270989,0.7255735197997425
9,0.584711434709288,0.7155607762206354,0.6796567896577068,0.6151344594784037,0.7220068586665634,0.6986300889157001
10,0.6137971662079061,0.704921846789327,0.674805979031472,0.6763740844599612,0.7222597734339411,0.6999997039010397
11,0.5844475291270561,0.7188606296357951,0.6907407589060751,0.6454395383960375,0.7269131600510592,0.6948859014181694
12,0.576725976083231,0.7510370262740186,0.7203826371661703,0.6840036464315903,0.7554830535449624,0.7105646141009007
13,0.6139089076934747,0.740519335446318,0.7014399966002001,0.6380121748100694,0.7461068503788925,0.7174017257516545
14,0.5982700938963794,0.7056679375592784,0.6827626153691073,0.6601836403101506,0.7070040877265941,0.6985018625384836
15,0.5424514810373723,0.7563363406483937,0.7184877391729275,0.6847149068058466,0.7534418528245521,0.7264759659836197
16,0.5350660913550461,0.7251062441524887,0.6681714448909126,0.6668659678184666,0.7137174915919443,0.6903176022079112
17,0.5775604916448674,0.7247059336833324,0.669728102979447,0.65605612169068,0.7174040370260895,0.6788921638101092
18,0.5679644856242391,0.7371022317355419,0.6915108953979461,0.6584732090311545,0.7340053859378892,0.704919416844688
19,0.6241034423521187,0.7192008587276988,0.6908105600260699,0.6417440254587252,0.7336644538228055,0.7133503469353117
20,0.6353042169228728,0.7304329563819556,0.6974657035421697,0.665538311777121,0.7306949269191048,0.7031105368576911
21,0.6177560340666438,0.7386885174780479,0.7039837376409194,0.6465878753838654,0.7487124848588499,0.7338187223431507
22,0.6034788309960829,0.7589896072012289,0.72343102175726,0.6246554965301636,0.7694174780881307,0.7246135234866651
23,0.5695125354775277,0.7218516686512944,0.6842704513797768,0.6513014030740847,0.724783547179827,0.7086737765056552
24,0.5900887388673233,0.7150721100703032,0.6746989009418083,0.6402277294347081,0.730092550026192,0.7108224172203083
25,0.5717768837630699,0.7248009274920643,0.6609259340270617,0.6313678829379749,0.7171723822367321,0.6878395035210175
26,0.585327800925525,0.7317877167358668,0.6732300006463935,0.624553845660747,0.7278777003429677,0.7108738146841834
27,0.5935972802921012,0.7329028966024967,0.70038285965341,0.6453285463534528,0.7395314136686916,0.7186651885153139
28,0.5723764348597549,0.7111192038903376,0.6922521492939504,0.652968423413055,0.7132001651339527,0.7021622261141292
29,0.5632161938297818,0.6988706986577147,0.6918972447390013,0.6060244693165187,0.702482344567847,0.6927204327400379
30,0.5217544748339472,0.7290727813989809,0.6764688105862846,0.6227545567301618,0.7250783640489875,0.6987229019666132
31,0.579183569279144,0.7331968297464486,0.6741535606472688,0.6701253923089299,0.7341018256888037,0.7005054911758065
32,0.6108579877345264,0.7249901429785502,0.7093737895664048,0.6643039270895313,0.7386421733871407,0.7165730086727142
33,0.5977314258755294,0.72688557924054,0.7033271678166018,0.6601055363348947,0.7342722145340816,0.6955930005802302
34,0.5933986159853488,0.7193543170325999,0.7003018728093308,0.6211554865484882,0.7420196320179459,0.718689441427603
35,0.5374458343427406,0.7201056300269405,0.6473643065755755,0.6054495832818203,0.7242068990213892,0.7032567468497757
36,0.5460817780193535,0.7017777577349327,0.6603437225863636,0.6044898427736323,0.6932544377664038,0.6730565373324551
37,0.6099891344310255,0.7244729300892002,0.686445563760442,0.6545000258558547,0.7412934638225387,0.7152209257777613
38,0.5801533128105358,0.7109884088084163,0.6637268420560618,0.6239734640861107,0.7150105442037392,0.6894221581921502
39,0.6024000921189275,0.7573376665414948,0.709425663280863,0.6263206867780595,0.7536085758632899,0.7075157479120344
40,0.5698941723692357,0.7179383312256047,0.7013032165830981,0.6095501234120553,0.7195343618362772,0.7075390229345022
41,0.5892554456060057,0.7035557388704466,0.6789685813808409,0.6545178590075509,0.7123402725501927,0.7057569205023126
42,0.55564375204683,0.7004179975143692,0.6651063440425187,0.6476347522363428,0.7038321194223445,0.6739802571186605
